Timestamp,What name do you wish to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon) ,What are your main areas of focus for your journalism? ,Where do you publish your work?,Other info for short self-description 

11/9/2022 8:55:10,Jim McDermott,@jimmcd@mastodon.social,@popculturpriest,Culture,"America Magazine, Popverse, Panel x Panel",

11/9/2022 9:00:28,Equinox Features,@equinox@newsie.social,@newspics,"breakingnews, equality, disability, diversity, security, infosec, LGBT+","National and international print media, online media and television.","Nice video and photojournalists covering: breakingnews, equality, disability, diversity, security, infosec, LGBT+"

11/9/2022 9:22:23,Aaron Fernando,00Aaron@social.coop,"(I am actively destroying my Twitter due to Elon Musk's new ownership, so it's locked and drastically reducing in quality; don't want to share at this time)","Solidarity economics, co-ops, social movements, public banking and community finance, housing and land justice"," muckrack.com/aaron-fernando  (Freelance, so Shareable (mostly), The Progressive, The Real News, other)","Freelance journalist focused on social movements and solidarity economics, based in Ithaca, New York"

11/9/2022 9:26:03,Nick Hune-Brown,@nickhunebrown@mastodon.social,@nickhunebrown,"Longform magazine writing, health, profiles, social issues","The Local, The Walrus, Toronto Life, etc",Toronto-based magazine writer and editor at TheLocal.to

11/9/2022 9:29:05,Lisa Burton,@LisaBurton@mastodonapp.uk,@BurtonLisa,"UK politics, Brexit, equality",Yorkshire Bylines,Passionate about equality and standards in politics. You can read some of my work here www.yorkshirebylines/author/lisaburton/ 

11/9/2022 9:41:32,Richard MacManus,@ricmac@mastodon.social,@ricmac,"Technology, web development, fediverse",https://thenewstack.io/,"Tech Journalist and Founder, ReadWriteWeb (2003-12)"

11/9/2022 9:50:08,Jeremy Gahagan,jeremygahagan@mastodon.social,@jeremygahagan,BBCâs online Live coverage ,BBC News website ,

11/9/2022 10:11:42,Erin Nolan,@erin_nolan_@journa.host,@erin_nolan_,"City of Newburgh, investigations, local news, New York, Hudson Valley","USA TODAY Network, Times Herald-Record, lohud, Poughkeepsie Journal",previously reported in New Hampshire and Massachusetts 

11/9/2022 10:18:01,Seth Prince,@sethprince@newsie.social,@seth_prince,"College media, community journalism, sports media",oudaily.com,OU Daily newsroom adviser

11/9/2022 11:04:03,Loren Hall,@lorenhall@universeodon.com,https://twitter.com/Loren_Hall_Art,"My main focus is on universal healthcare, a living wage, a green new deal, a federal jobs guarantee, fighting neoliberal policy in government, and neoliberal ideology everywhere else using modern monetary theory.","https://action.realprogressives.org/, https://realprogressives.org/, and https://medium.com/ ","I am actually a visual/musical artist that only felt compelled to try and write seriously in 2016, but I have written over 80 articles for Real Progressives during a 5-year period, and continue to write today. Exclusion from this list is understandable on this basis, but I would be a fool to pass up an opportunity to be included!"

11/9/2022 11:07:58,Rick Smolan,RickSmolan@newsie.social,@RickSmolan,"Social Jusitice, Global Water Crisis, Big Data, Blockchain, Future of Food, ","National Geographic, Time, my own books",I invite 100+ global journalists to collaborate and fcus in emerging topics 

11/9/2022 11:17:38,Lindsay Ellis,@lindsayaellis@mas.to,@lindsayaellis,Careers & Work,WSJ,"Reporter covering the workplace, young professionals and business education. DC based, Boston roots. lindsay.ellis@wsj.com."

11/9/2022 11:50:24,Chris Were,@chriswere@toot.wales,@ChrsWr,Local news in south east Wales and south Herefordshire,Ross Gazette local newspaper (rossgazette.com),

11/9/2022 12:00:57,Chris Merriman,@ChrisTheDj@c.im,@ChrisTheDJ,"Technology, Music, Disability, Media","IT Pro, Tech Advisor, Computer Weekly",Interests including streaming media and smart home

11/9/2022 12:10:58,Simon Bowes,@EuropeanJournal@newsie.social,@EuropeJournal1,"current affairs, lifestyle",EuropeanJournal.org,freelance journalist/photojournalist

11/9/2022 12:31:17,Jason Parker ,@north@kolektiva.social,@northantara,"activism, justice, law",,I work on what I think is interesting or necessary.

11/9/2022 13:01:13,Elise Cutts,@elisecutts@sciencemastodon.com,@elisecutts,"Science: biology, geology, planetary science, astronomy, microbiology","Freelance: Scientific American, Science News, Sky and Telescope, AGU's Eos, Science, and more.","I'm a freelance science journalist based in Austria, mostly covering the Earth and life sciences. More at www.elisecutts.com"

11/9/2022 13:22:13,Katie L. Burke,@kburke@mstdn.social,@_klburke,"Generalist sciences, with a particular proclivity for the life sciences, ecology & environment, public health, history of science, science & technology studies, & diversity/inclusion issues in STEM",American Scientist,

11/9/2022 13:34:26,Mike McGrath-Bryan,@mike_mcgb@mastodon.ie,@mike_mcgb,Arts/music; neurodivergence; general features,Irish Examiner; The Echo,Neurodivergent features writer and digital journalist with experience in content management systems

11/9/2022 13:34:31,Dan Falk,@danfalk@sciencemastodon.com,@danfalk,"physics, astronomy, cosmology, the mind, AI, anthropology, archeology, history of science, philosophy of science","Quirks & Quarks, Undark, Smithsonian, National Geographic, Quanta",I'm a freelance science writer and broadcaster. Co-host of BookLab. Last book = The Science of Shakespeare.

11/9/2022 13:34:44,Micah Loewinger,@micahloewinger@mastodon.online,@MicahLoewinger,"Internet, media, far-right",,Correspondent for WNYC's On the Media 

11/9/2022 13:44:42,McKenzie Funk,@mckenziefunk@journa.host,@mckenziefunk,"data, climate, capitalism, America's long shadow in the world","New York Times Magazine, Harper's, National Geographic, London Review of Books, Outside, etc.",

11/9/2022 13:48:34,Pam Baker,@PamBaker@newsie.social,@bakercom1,science and technology ,I freelance for many mainstream and online publications,Freelance journalist and book author

11/9/2022 13:49:01,Hayden Field,@haydenfield@mstdn.social,@haydenfield,Tech,Morning Brew,"Reporter: tech + investigative. Currently at Morning Brew. Bylines at Protocol, Entrepreneur Magazine, MIT Tech Review, WIRED UK & more."

11/9/2022 14:02:58,Kim Lyons,@socialkimly@twit.social,@socialkimly,"Business, tech, pittsburgh","Substack NYT, Penn Capital Star, Morning Brew, others",newsletter! socialkimly.substack.com

11/9/2022 14:08:46,Thorsten Claus,@ThorstenClaus@mstdn.social,@ThorstenClaus,Technology,moobilux | connected mobile,"Thorsten Claus is a Berlin, Germany based tech-journalist, communicator and visionary. He is the founder of https://moobilux.com, https://HauptstadtPapa.com and the event-series pitchfreunde // Pitch your story."

11/9/2022 14:09:53,Johannes Grunert,@johannesgrunert@chaos.social,@johannesgrunert,"Far-right, protest, Eastern Germany","Zeit StÃ¶rungsmelder, Der Rechte Rand, etc",

11/9/2022 14:13:45,Thorsten Claus,@mastodon.social/@KaffeePiraten,@KaffeePiraten,Food & Beverage,All about #Coffee.,KaffeePiraten.com ist Dein unabhÃ¤ngiger Kaffee-Blog. #KaffeePiraten alles rund ums Thema #Kaffee & Co.

11/9/2022 14:16:18,Barbara Wimmer,Shroombab@chaos.social,Shroombab,Tech & politics,Futurezone.at,Journalist from Vienna

11/9/2022 14:21:23,Dan Ackerman,@danackerman@mastodon.social,@danackerman,Technology,CNET,"Editorial Director, CNET"

11/9/2022 14:27:58,Justin Jaffe,@jaffej@mastodon.social,@justinjaffe,Personal finance + crypto,CNET,

11/9/2022 14:30:16,Virginia Gewin,@VirginiaGewin@mastodon.online,@VirginiaGewin,"Climate change, land use, agriculture, food security","Nature, Popular Science, Audubon, Bloomberg, Civil Eats","Based in Portland, Oregon, I focus food production in a rapidly changing world"

11/9/2022 14:49:42,Georgina Laud,@georgielaud@mindly.social,https://twitter.com/GeorgieRosieL,SEO/Audience,Express.co.uk,Engagement Editor at Express.co.uk 

11/9/2022 14:51:47,Shrikant Joshi,@shrikant@masthead.social,shrikant,"Freelance, Audio Storytelling, Podcaster, Mental Health, Science, Technology",anchor.fm/tchp - currently dormant,"Independent Audio Creator. Tech-enthusiast. Creator of http://j.mp/manogyanic - a Hinglish audio series on #MentalHealth, available on Audible India. Also wrote & produced ""The Covid H________ Project"" podcast during the #COVID-19 lockdown, found here: https://anchor.fm/tchp"

11/9/2022 15:03:58,Adrien Beauduin,@abeauduin@newsie.social,,"Central and Eastern Europe, politics, socio-economic issues, social movements, culture","Le Courrier d'Europe centrale, Le Soir, La Presse, Jacobin",I'm an independent journalist writing on Central and Eastern Europe and based in the region for more than 10 years.

11/9/2022 15:26:13,Maeve Allsup,@maeveallsup@techhub.social,https://twitter.com/maevemallsup,Web3 and retail,Morning Brew,I write about tech and Web3 for Morning Brew's retail newsletter! 

11/9/2022 16:36:35,Hessie Jones,Hessiej@mas.to,@hessiejones,"AI ethics, data privacy, technology, entrepreneurship ",Forbes ,"I am an investor. I work in accelerator focused on clean-tech and hard tech. I am also a cofounding member of MyData Canada. I am also part of a volunteer group developing solution for identifying, detecting and remediating PII in large datasets."

11/9/2022 16:45:00,CA,CA,Charlottearo,"Politics, climate, animals","Utube,twitter, facebook, instagram",

11/9/2022 16:48:52,CA,CA@carotherhamobrien,Charlottearo,"Politics, environment, climate change, animals","Twitter, facebook, instagram, utube",

11/9/2022 16:57:45,Daniel Summers,@wfkars@mastodon.social,@wfkars,"Medicine, LGBTQ+ issues ","Daily Beast, Slate",Private practice pediatrician and freelance health and science columnist 

11/9/2022 17:10:36,@hiltzikm,@hiltzikm@mstdn.social,@hiltzikm,,Los Angeles times,

11/9/2022 17:22:37,Nicole Lee,@nicole@mastodon.cloud,@nicole,Technology,,Journalist with over 17 years of experience covering tech. Looking for a job. 

11/9/2022 17:30:03,Shannon Bond,@shannonpareil@mastodon.social,@shannonpareil,"technology, disinformation, social media",NPR,correspondent on NPR's disinformation beat

11/9/2022 17:38:18,Gianlua Pezzi,@gianlucapezzi@mastodon.uno,@stuckjes,"Automotive, Technology","Quotidianomotori.com, Esquire Italia","Based in Milan, Italy."

11/9/2022 17:39:46,Adrian Elliot,@AElliotPR@eupolicy.social,@AElliotPR,"Spanish, UK and LatAm current affairs",Freelancer,

11/9/2022 18:15:21,Derrick Rossignol,@derrickrossignol@mastodon.online,@drossignol_,"music, video games",Uproxx,Uproxx Music News Editor

11/9/2022 18:25:20,Connie Guglielmo,@techledes@mstdn.social,@techledes,"tech, media, misinformation, diversity+inclusion",CNET,Editor in Chief of CNET

11/9/2022 18:57:25,Ty Ross,@cooltxchick@mastodon.sdf.org,@cooltxchick,"Politics, Police Accountability, Political Violence, Corruption",Occupy Democrats & Washington Press,Freedom of the press is a constitutionally protected right. 

11/9/2022 20:04:07,Felipe Barousse,@febb@noc.social,@febb,Technology & Science,"""Interfase"", a weekly talk show on Radio EducaciÃ³n; Mexico's Public Radio",about.me/febb

11/9/2022 20:23:12,Melanie,@mgb@newsie.social,@mgbsaysthings,"science, civic science, global",Formerly BBC now Freelancer/Fulbright scholar,Primarily audio based. Interested in Civic Science and global science stories.

11/9/2022 20:30:24,Roberto Bissio,@rbissio@mastodon.uy,@rbissio,"Sustainability, decolonization, multilateralism, justice ","La Diaria, Agenda Global, Social Watch network","Uruguayan journalist, coordinator of the Social Watch"

11/9/2022 21:29:29,fernanda cÃ¢ncio,@fcancio@mas.to,@fcancio,human rights; investigative; politics; everything.,diÃ¡rio de notÃ­cias (www.dn.pt) portuguese daily newspaper,"portuguese, lisbon based. "

11/9/2022 21:32:33,Nick Tylwalk,@nicktylwalk@masto.ai,@nicktylwalk,Pro Wrestling,Wrestling Junkie/USA TODAY,"Sr. Manager/Content/Managing Editor for Wrestling Junkie, part of the USA TODAY Sports Media Group. "

11/9/2022 21:42:19,Dyani Lewis,@dyanilewis@aus.social,@dyanilewis,"Science, environment, health, science policy",Nature,

11/9/2022 22:47:48,Nikhil Pahwa,nixxin@mstdn.social,@nixxin,Technology Policy ,MediaNama https://www.medianama.com,I'm the founder and editor of MediaNama. We've been reporting on tech in India since 2008

11/10/2022 0:17:53,Cam Wilson,camwilson@mastodon.social,cameronwilson,"Internet, Australia ",Crikey,

11/10/2022 1:13:31,Howard Owens,@howard@journa.host,Howardowens,Local News,The Batavian,Publisher. Reporter. Photographer 

11/10/2022 2:10:15,Andreas Proschofsky,@suka_hiroaki@chaos.social,@suka_hiroaki,"Technology with a focus on Android, Linux, IT Security",Der Standard,

11/10/2022 4:11:06,Margaret Harris,@DrMLHarris@mastodon.social,@DrMLHarris,physics and related areas of science/technology,Physics World,"Online editor, Physics World"

11/10/2022 5:02:33,Robb Montgomery,@Mojo@glasgow.social,@videojournalist,mobile journalism,https://robbmontgomery.com/book/,"Author, ""Mobile Journalism"" book."

11/10/2022 6:23:57,Phineas Rueckert,@phineas@infosec.exchange,@PhineasJFR,"Press freedom, human rights, digital security, urbanism, migration","Forbidden Stories, Vice World News, Next City, Jacobin",Investigative journalist at Forbidden Stories

11/10/2022 7:58:40,Ste Carson,sjrcarson@mstdn.social,@sjrcarson,Sports,www.flashscore.co.uk,Sports journalist who mainly covers football/soccer

11/10/2022 8:23:39,GaÃ«l Lombart,@glombart@universeodon.com,@GaelLombart,Science,Le Parisien / Leparisien.fr,

11/10/2022 8:57:28,Evan Rodgeres,@evanrodgers@mastodon.social,https://twitter.com/evanrodgers,Consumer technology,"Input, viewfinders.blog",

11/10/2022 9:52:00,John West,@jsbw@internaut.club,@johnwest,I provide extra computational firepower to complex investigations,The Wall Street Journal,

11/10/2022 10:03:24,Shaun Sindelman,@shaunsindelman@c.im ,@ShaunSindelman,"Colorado, PA, WI, MI, VA, FL, AZ, IA, NC",Facebook/Twitter/IG,"Video Editor residing in CO doing work for Courier Newsroom's 8 state-based newsrooms in Pennsylvania, Wisconsin, Michigan, Virginia, Florida, Arizona, Iowa, and North Carolina"

11/10/2022 10:19:52,Mike Carlucci,@mikecarlucci@mastodon.social,mikecarlucci,"baseball, red sox",OvertheMonster.com,Data Analyst at work and at play.

11/10/2022 11:07:22,Rachel Courtland,rcourt@mastodon.social,@rcourt,Technology and engineering,MIT Technology Review,I commission stories from freelancers and experts

11/10/2022 11:32:10,Catharina Cheung,@catharina@zirk.us,@catharinacheung,"Lifestyle, Journalism industry, Culture & heritage, East Asian","Journo Resources, Bustle, Medium @ricewords, Freelance","Deputy Editor of Journo Resources; Writer, editor, translator"

11/10/2022 11:39:15,Valerie Belair-Gagnon,https://mastodon.online/@journoscholar,@journoscholar,"Technology, press criticism, mental health","Varies. Nieman, CJR, etc.",

11/10/2022 11:47:16,Martin Heller,@meheller@researchbuzz.masto.host,@meheller,"Software development, data science, enterprise software",InfoWorld and others,

11/10/2022 12:10:49,Marco Fioretti,@mfioretti_en@mastodon.social ,@mfioretti_en,"digital rights, ethics in technology, effective innovation",Everywhere/Freelance,other info at https:mfioretti.com

11/10/2022 13:42:40,Jeremy Hance,@Jeremy_Hance@journa.host,@jeremy_hance,"Climate, wildlife, forests, Indigenous people, environment in general.","Mongabay, Guardian, Ensia and a number of others. ",I have a book out called Baggage and I love to play Dnd.

11/10/2022 13:49:06,Stephen Applebaum, @Grubstreetsteve@mastodonapp.uk, @Grubstreetsteve,"Film, celebrity, politics, current affairs","The Independent, The Guardian, The Jewish Chronicle, and elsewhere",Freelance writer

11/10/2022 14:04:05,Elizabeth Howell,@howellspace@qoto.org,@howellspace,"space, spaceflight, astronomy, science, stem",Staff writer at Space.com and freelance for science or Canadian publications,"Staff writer, spaceflight at Space.com. I also freelance and have written 5 books so far."

11/10/2022 14:05:15,Lynn Greiner,@lynngr@mastodon.online,@lynngr,"technology, interpreting business for tech & vice versa","IT World Canada, Channel Daily News, itbusiness.ca, CIM Magazine and others",techie w/a business degree

11/10/2022 14:17:55,Claire Miller,@clairemiller@mstdn.social,clairemilleruk,Data journalism and freedom of information ,,

11/10/2022 14:57:46,Steven J. Vaughan-Nichols,@sjvn@mastodon.social,sjvn,Technology and Business," ComputerWorld, ZDNet, TheNewStack,  &The Register","Known for Linux, open-source software, and cloud coverage,"

11/10/2022 15:22:43,E Rosalie,erosalie@infosec.exchange,NovelSci,"Disinformation, risk, threats, crisis ","Hoaxlines, Rantt, Nature, MMFA ", Disasters & disinformation (public health + nat sec) @ Johns Hopkins | Tracking disinfo in ðºð¦

11/10/2022 16:03:06,Erik de la Reguera,@erikdelareguera@mastodon.nu,https://twitter.com/erikdelareguera,"France, UK, Latin America, politics, migration, climate, social issues ",Dagens Nyheter (Sweden),Paris correspondent

11/10/2022 16:52:11,Gaby Goldstein,@Gabygoldstein@mstdn.social,gaby__goldstein,"State legislatures, state politics, voting rights, gerrymandering","Op eds & commentaries - CNN, Guardian, Salon, etc",

11/10/2022 17:03:03,Priyanjana Bengani,@acookiecrumbles@indieweb.social,@acookiecrumbles,"technology, local news, platforms, politics",Columbia Journalism Review,Senior Computational Research Fellow at the Tow Center @ Columbia University

11/10/2022 17:18:54,Alexander Nguyen ,AlexNSandiego@mas.to,AlexNSandiego ,General Assignment ,KPBS.org,"Multi-media reporter/producer for KPBS News, San Diego's NPR and PBS station"

11/10/2022 17:26:29,Paul Dempsey,@DempseyPaul@mastodon.social,@DempseyPaul,"Technology, US government policy, AI, semiconductors, China",E&T Magazine,"Washington Correspondent for E&T, published by the UK's Institution of Engineering and Technology "

11/10/2022 17:27:55,Jason Davis,@JasonDavis@c.im,davisjsn,"soccer, football, calcio, etc. ",SiriusXM radio host,American soccer guy. LFG

11/10/2022 17:53:59,Jason Perlow,@mastodon.social@jperlow,@jperlow,"Technology, Food","Linux Foundation, ZDNet, CNN",Technology and Food Journalist

11/10/2022 17:55:14,Paul Levinson,https://mastodon.social/@PaulLev,@PaulLev,"music, politics, TV and movie reviews","Wired, Mediatie, Vocal","Prof., Comm & Media Studies, Fordham U; science fiction author: The Silk Code, The Plot to Save Socrates; singer-songwriter: Twice Upon A Rhyme, Welcome Up"

11/10/2022 18:05:49,Jin Ding,@jinkding@newsie.social,@jinkding,"international, China, DEI, Asian American, Investigative",Center for Public Integrity,

11/10/2022 18:28:17,Lonny Goldsmith,@lonny@newsie.social,@lonny_goldsmith,"Jewish community journalism, primarily in Minneapolis/St. Paul, but we're expanding to Cincinnati.",tcjewfolk.com,"Award-winning journalist covering the Jewish community, but also a sports fan. Basically doesn't matter the sport."

11/10/2022 19:44:33,Tim Richards,@timrichards@aus.social,@Aerohaveno,Travel,http://iwriter.com.au/,"Freelance travel writer based in Melbourne, Australia; writing on travel in articles and books."

11/10/2022 20:02:11,Nikki Bayley,Nikkibayley@nerdculture.de,@nikkibayley,"Food, drink, travel","Daily Telegraph, Eater.com, BC Living, ",Reliable source for deliciousness in BC and beyond.

11/10/2022 20:53:57,Andrew E. Freedman,@FreedmanAE@mastadon.social,@FreedmanAE,"Technology, gaming, hardware, business, consumer tech, product reviews",https://www.tomshardware.com/,"Senior Editor, Tomâs Hardware"

11/10/2022 21:09:55,Jeanne Pinder ,@Jpinder@mastodon.social,@chcosts,"Health costs, Covid, transparency, trust in journalism",https://clearhealthcosts.com/,"We are bringing transparency to health care by telling people what stuff costs, on our home site and in partnership with other journalists. https://bit.ly/2XRtUxf TED talk here: https://bit.ly/2XhxQDo "

11/10/2022 23:03:26,Marissa Rothkopf,@marissarothkopf,@marissarothkopf,Food and politics,"New York Times, Newsweek, NJ Monthly my substack @marissarothkopf",also: host of The Secret Life of Cookies podcast

11/10/2022 23:27:24,Tristan Louis,tnlnyc@mastodon.social,@tnlnyc,technology,"Freelance (NY Times, Insider, Forbes...)","Activist, Entrepreneur, Writer... not necessarily in that order"

11/11/2022 0:42:05,Poly Z.H. Sun,@PolySun@fediscience.org,No,"intelligent transportation systems, human factors in driving, neuroergonomics, brain and cognitive status under maneuvers, physiological parameter measurement, bio-inspired vision mechanism, operations research, and their applications in human-in-the-loop transportation systems","IEEE Transactions on Engineering Management, IEEE Transactions on Intelligent Transportation Systems, IEEE Transactions on Computational Social Systems, IEEE Transactions on Intelligent VehiclesIEEE Transactions on Automation Science and Engineering",Poly Z.H. Sun (MIEEE) is currently a Ph.D. candidate at Shanghai Jiao Tong University. He has authored over 30 research papers in refereed international journals and conferences. 

11/11/2022 1:49:53,Drew Benvie,@drewb@mastodon.social,@drewb,Social media,BBC,Commentator on social media trends on the BBC

11/11/2022 3:13:43,GroundUp News,@groundup@newsie.social,@GroundUp_News,"South African human rights (esp in vulnerable commuities), social grants, government housing, Lottery corruption, law, labour","On our website. We are republished often by News24, Daily Maverick, etc","GroundUp shares the realities of life in underreported communities. The South African Constitution promises basic human rights to all, and we show what this means in daily life."

11/11/2022 5:44:31,Ekkehard KnÃ¶rer,@knoerer@mastodon.online,,"Kritik, Filmkritik, Literaturkritik, Theaterkritik","taz, Merkur, Cargo",

11/11/2022 5:50:41,Ingo.Berlin,@ingoelbey@troet.cafe,ingo_berlin@twitter.com,Art. Politics. Turkey,taz. sÃ¼ddeutsche. kunstforumInternational,critic

11/11/2022 6:06:54,julyn.reports,@julyn_daum@mstdn.social,@JulianDaum,"right wing extremism, climate and LGBTQ related issues",various national broadcasters and Tiktok (@julyn.reports),"freelance journalist, creative producer and director"

11/11/2022 6:09:38,Wiebke Tomescheit,wiebkowitz@mstdn.social,@wiebkowitz,"Social Media, Kultur, Musik, Geschichte",Stern,

11/11/2022 6:16:30,Alastair McKay,@AlastairMcKay@journa.host,@AHMcKay,"Music, film, television",Uncut,Author of Alternatives To Valium: How Punk Rock Saved A Shy Boyâs Life

11/11/2022 6:25:21,John Leonard,@johnleonard@mastodon.social,_johnleonard,"IT, tecnology, B2B, privacy, open source, infosec, market trends, green, ai, cloud",Computing,"Research Director at Computing UK, covering all aspects of tech with a business focus"

11/11/2022 6:33:01,Tom Schaffer,@schaffertom@mastodon.social,@schaffertom,"Politics, Media, Economy, Society, Football, Tech, Games","Moment.at, ballverliebt.eu, rebell.at, YouTube","Based in Vienna, Austria"

11/11/2022 7:06:24,Marcio Delgado,@marcio_delgado@mastodon.world,@marcio_delgado,Business and Trending News,Euronewsweek,London-based Journalist and Digital Consultant

11/11/2022 7:12:53,Satoko Omata,@omata@newsie.social,@omata3105,"Consumer and Enterprise Technology, Business","Bylines in Fintech News, Tech Wire Asia, Asian Correspondent, PC.com, Business Today",Currently a healthcare technology content and communications manager in Singapore 

11/11/2022 7:12:57,Karl Hodge,@spodgod@mstdn.social,@karlhodge,"Music, virtual reality, tech innovation, games, health.","Stuff, Tom's Guide, Guardian, Medium","A formerly active tech journalist for two decades who now specialises in features writing on VR, games, music and wellbeing. More of an academic now than a hack."

11/11/2022 8:14:56,Carl Zimmer,@Carl_Zimmer@mastodon.social,@carlzimmer,Science,New York Times,"Columnist, book author "

11/11/2022 8:20:37,Brandon C. Williams,@BCWilliams71@c.im,BCWilliams71,Sports,CFL.ca,High School and College football recruiting

11/11/2022 8:54:51,Tansy Hoskins,@tansy@mastodon.lol,@tansyhoskins,"Garment industry, labour rights, climate","openDemocracy, Guardian, Tribune, Huck",Author of 3 books on the fashion industry. Teach supply chain jsm.

11/11/2022 9:12:48,Roger Parloff,@rparloff@journa.host,@rparloff ,"Law & politics, January 6",Lawfareblog ,

11/11/2022 9:26:07,Noah Shachtman,@noahshachtman@mstdn.social,@NoahShachtman,,Rolling Stone,"EIC @RollingStone . Back in the day: @thedailybeast , @Wired , @ForeignPolicy , @BrookingsFP  // noah.shachtman@protonmail.ch"

11/11/2022 9:45:46,Matt, @Mattagius@activism.openworlds.info,@MattAgius,"Malta, Courts and justice",MaltaToday,Senior court journalist at MaltaToday | Usual caveats | Ex-squaddie | Likes funny things | DM for Signal number |  Secure comms read this: http://pastebin.com/ZsUMXxx3

11/11/2022 9:49:27,Annika Becker,@annika_be@ruhr.social,@annika_be,"Football/Soccer, Women in Football/Soccer, Football and Politics, Gender Equality and Inclusion, LGBTQIA+ in Football, Tactical Football Analysis",Freelance Journalist,From Germany

11/11/2022 10:16:02,Kathryn Hulick,@khulick@sciencemastodon.com,@khulick,"Any science for kids: Technology, robotics, AI, energy, space, biology, health, climate",Science News Explores www.snexplores.org ,I also write books for kids and contribute to the magazines Muse and Front Vision

11/11/2022 10:18:17,Petros Demetropoulos,@pd@newsie.social,@pdemetropoulos,Politics,Athens News Agency (ANA-MPA),Hellenic Parliament Correspondent

11/11/2022 11:54:35,Dawnthea Price Lisco,@dawnthea@newsie.social,@dawntheapl,"Local/regional Virginia news, public media, freelance editing and copyediting","CNET, Slate, WAMU, various","Career copy/homepage editor, incoming managing editor at VPM, big on accessibility, Taurus"

11/11/2022 12:50:30,Kit O'Connell ,@kitoconnell@kolektiva.social ,@KitOConnell ,"Human rights, LGBTQIA, extremism, social justice, Hemp and cannabis ",Texas Observer ,"Digital Editor at the Texas Observer, longtime movement journalist and community organizer."

11/11/2022 13:41:11,Mehdi Hasan,@mehdihasan@journa.host,@mehdirhasan,Political News,MSNBC and Peacock,Host on MSNBC and MSNBC on Peacock

11/11/2022 13:56:22,Michael Slezak,@mikeyslezak@aus.social,@mikeyslezak,"Environment, climate change, science",ABC (Australian Broadcasting Corporation),National Environment and Science Reporter at the ABC

11/11/2022 14:30:30,Amanda Kolson Hurley,@amandakhurley@mstdn.social,@amandakhurley,"Climate, environment, architecture/development",Bloomberg News,"Climate editor, Bloomberg"

11/11/2022 14:58:05,Francesca Fontana,@francesca@mstdn.party,@francescamarief,"Business (personal finance, management, work), first-person essays",The Wall Street Journal,

11/11/2022 15:37:02,Tony Winton,@TonyWinton@journa.host,@TonyWinton,"Hyper-local, nonprofit govt accountability and environmental",Miami,"I'm a former Associated Press reporter and journalism union leader, working to build nonprofit news."

11/11/2022 17:31:19,Nicu Calcea,@nicu@journa.host,@nicucalcea,"Data Journalism, Business, Money",BBC,"Data Journalist at BBC Business, formerly Data Projects Editor ar the New Statesman."

11/11/2022 20:18:34,Patrick Boehler,@pboehler@mastodon.social,BoehlerPatrick,"Media, censorship, digital rights",RFE/RL,

11/11/2022 20:19:26,Hannah Weinberger,@trailanderror@scicomm.xyz,@weinbergrrrrr,Science & the environment,Crosscut.com ,"Science & Environment Reporter for Crosscut / KCTS9 PBS in Seattle. I write about how humans and wildlife adapt to a changing planet and each other (ecology, enviro health, sustainability), and tell a lot of dad jokes. "

11/11/2022 20:24:22,Brandon Keim,@9brandon@mastodon.social,@9brandon,"Nature, animals, science & the environment","New York Times, National Geographic, Nautilus, The Atlantic","Based in Bangor, ME"

11/11/2022 23:59:32,Tiffany Li,@tiffanycli@mastodon.social,@tiffanycli,"Tech, Privacy, Law",MSNBC,"MSNBC columnist. Also words elsewhere, including: Washington Post, The Atlantic, Slate, NBC Think, Quartz, McSweeneyâs"

11/12/2022 0:47:37,Joshua Long,@theJoshMeister@infosec.exchange,@theJoshMeister,Apple and macOS security and privacy,https://www.intego.com/mac-security-blog/,"Cybersecurity researcher, investigative journalist, public speaker, podcaster. Formerly: Naked Security, MacTech Magazine"

11/12/2022 3:04:39,Erik Hauth,@ring2@norden.social ,ring2,Sports ,Germany,"Blogger and Podcaster, Sailor from Hamburg"

11/12/2022 4:21:39,Tabatha Southey,@TabathaSouthey@mastodon.social,@TabathaSouthey,Columnist," Macleans, Walrus, Globe and Mail, National Post Elle Canada etc",

11/12/2022 5:12:07,AndrÃ© KÃ¼hnlenz,@KeineWunder@mastodon.social,@KeineWunder,Macro Economics and Finance,Finanz und Wirtschaft,

11/12/2022 5:17:18,Steve Lubetkin,PodcastSteve@newsie.social,@PodcastSteve,"New Jersey, technology, commercial real estate",www.statebroadcastnews.com,"co-author, ""The Business of Podcasting: How to Take Your Podcasting Passion from the Personal to the Professional"" (www.thebusinessofpodcasting.com)"

11/12/2022 7:25:29,Marc Martorell Junyent,@marcmartorell@mastodon.online,@MarcMartorell3,"Middle East, book reviews, Iran, Israel/Palestine, international politics, Turkey, books","Freelance journalist (published in Responsible Statecraft, The New Arab, Inside Arabia, Mondoweiss, MANARA Magazine...)",MA Graduate in Comparative and Middle East Politics and Society (TÃ¼bingen University/American University in Cairo)

11/12/2022 8:54:15,Ann Silversides ,@Ann@ASilversides,ASilversides ,health policy,online,long time independent health policy journalist 

